Item;Smu1_V;Smu1_I
337;-0,349999994;-4,03406E-06
338;-0,360000014;-4,31426E-06
339;-0,370000005;-4,62561E-06
340;-0,379999995;-4,96404E-06
341;-0,389999986;-5,3243E-06
342;-0,400000006;-5,72717E-06
343;-0,409999996;-6,14133E-06
344;-0,419999987;-6,56289E-06
345;-0,430000007;-7,01017E-06
346;-0,439999998;-7,46639E-06
347;-0,449999988;-7,92381E-06
348;-0,460000008;-8,38493E-06
349;-0,469999999;-8,84638E-06
350;-0,479999989;-9,30918E-06
351;-0,49000001;-9,76704E-06
352;-0,5;-1,02287E-05
353;-0,50999999;-1,06871E-05
354;-0,519999981;-1,11314E-05
355;-0,529999971;-1,15793E-05
356;-0,540000021;-1,2025E-05
357;-0,550000012;-1,24629E-05
358;-0,560000002;-1,29157E-05
359;-0,569999993;-1,33653E-05
360;-0,579999983;-1,38078E-05
361;-0,589999974;-1,42561E-05
362;-0,600000024;-1,47039E-05
363;-0,610000014;-1,51461E-05
364;-0,620000005;-1,55907E-05
365;-0,629999995;-1,60317E-05
366;-0,639999986;-1,64681E-05
367;-0,649999976;-1,69119E-05
368;-0,660000026;-1,73546E-05
369;-0,670000017;-1,77879E-05
370;-0,680000007;-1,82195E-05
371;-0,689999998;-1,86519E-05
372;-0,699999988;-1,90768E-05
373;-0,709999979;-1,95032E-05
374;-0,720000029;-1,99243E-05
375;-0,730000019;-2,03459E-05
376;-0,74000001;-2,0761E-05
377;-0,75;-2,11787E-05
378;-0,75999999;-2,15918E-05
379;-0,769999981;-2,19976E-05
380;-0,779999971;-2,23999E-05
381;-0,790000021;-2,27992E-05
382;-0,800000012;-2,32018E-05
383;-0,810000002;-2,36123E-05
384;-0,819999993;-2,40031E-05
385;-0,829999983;-2,43998E-05
386;-0,839999974;-2,47907E-05
387;-0,850000024;-2,51672E-05
388;-0,860000014;-2,55417E-05
389;-0,870000005;-2,59195E-05
390;-0,879999995;-2,629E-05
391;-0,889999986;-2,66539E-05
392;-0,899999976;-2,70113E-05
393;-0,910000026;-2,73644E-05
394;-0,920000017;-2,77235E-05
395;-0,930000007;-2,80768E-05
396;-0,939999998;-2,84196E-05
397;-0,949999988;-2,87663E-05
398;-0,959999979;-2,91188E-05
399;-0,970000029;-2,95138E-05
400;-0,980000019;-2,99117E-05
401;-0,99000001;-3,03597E-05
402;-1;-3,07616E-05
